year;degree;cat;var1
2013;Diplome;Eidgenössische Diplome;836
2013;Diplome;Anerkannte ausländische Diplome;100
2013;Bachelor;Bachelor-Diplome;878
2013;Master;Master-Diplome;775
2013;Doktorat;Doktorate;594
2014;Diplome;Eidgenössische Diplome;924
2014;Diplome;Anerkannte ausländische Diplome;100
2014;Bachelor;Bachelor-Diplome;942
2014;Master;Master-Diplome;859
2014;Doktorat;Doktorate;526
2015;Diplome;Eidgenössische Diplome;942
2015;Diplome;Anerkannte ausländische Diplome;100
2015;Bachelor;Bachelor-Diplome;997
2015;Master;Master-Diplome;890
2015;Doktorat;Doktorate;576
2016;Diplome;Eidgenössische Diplome;928
2016;Diplome;Anerkannte ausländische Diplome;100
2016;Bachelor;Bachelor-Diplome;1007
2016;Master;Master-Diplome;882
2016;Doktorat;Doktorate;530
2017;Diplome;Eidgenössische Diplome;999
2017;Diplome;Anerkannte ausländische Diplome;100
2017;Bachelor;Bachelor-Diplome;1114
2017;Master;Master-Diplome;941
2017;Doktorat;Doktorate;569
2018;Diplome;Eidgenössische Diplome;1029
2018;Diplome;Anerkannte ausländische Diplome;100
2018;Bachelor;Bachelor-Diplome;1087
2018;Master;Master-Diplome;993
2018;Doktorat;Doktorate;694
2019;Diplome;Eidgenössische Diplome;1089
2019;Diplome;Anerkannte ausländische Diplome;100
2019;Bachelor;Bachelor-Diplome;1128
2019;Master;Master-Diplome;1015
2019;Doktorat;Doktorate;695
2020;Diplome;Anerkannte ausländische Diplome;100
2020;Bachelor;Bachelor-Diplome;1262
2020;Master;Master-Diplome;1111
2020;Doktorat;Doktorate;799
2021;Diplome;Eidgenössische Diplome;1118
2021;Diplome;Anerkannte ausländische Diplome;100
2021;Bachelor;Bachelor-Diplome;1343
2021;Master;Master-Diplome;1088
2021;Doktorat;Doktorate;935
2022;Diplome;Eidgenössische Diplome;1209
2022;Diplome;Anerkannte ausländische Diplome;100
2022;Bachelor;Bachelor-Diplome;1430
2022;Master;Master-Diplome;1164
2022;Doktorat;Doktorate;856
2023;Diplome;Eidgenössische Diplome;1284
2023;Diplome;Anerkannte ausländische Diplome;100
2023;Bachelor;Bachelor-Diplome;1305
2023;Master;Master-Diplome;1231
2023;Doktorat;Doktorate;834
